证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
600763.SH,600763,4.5,4.5,4.5,1.5,4.5,0.5,1.5,★★★★☆,★★★★☆,★★★★☆,★☆,★★★★☆,☆,★☆
600767.SH,600767,0.5,1,0.5,1.5,1.5,1.5,2,☆,★,☆,★☆,★☆,★☆,★★
600771.SH,600771,3.5,2,4.5,1,2,0.5,1,★★★☆,★★,★★★★☆,★,★★,☆,★
600781.SH,600781,5,4.5,4.5,5,1.5,4.5,3.5,★★★★★,★★★★☆,★★★★☆,★★★★★,★☆,★★★★☆,★★★☆
600789.SH,600789,2,2.5,1.5,3.5,2,2,2.5,★★,★★☆,★☆,★★★☆,★★,★★,★★☆
600812.SH,600812,1.5,3,0.5,4.5,2,2,3.5,★☆,★★★,☆,★★★★☆,★★,★★,★★★☆
600829.SH,600829,2,3.5,1,2,4,2.5,2,★★,★★★☆,★,★★,★★★★,★★☆,★★
600833.SH,600833,2,2,2,2,4,2,1.5,★★,★★,★★,★★,★★★★,★★,★☆
600851.SH,600851,1,1.5,2.5,1.5,1.5,0.5,0.5,★,★☆,★★☆,★☆,★☆,☆,☆
600867.SH,600867,3,1.5,4.5,0.5,2.5,0.5,0.5,★★★,★☆,★★★★☆,☆,★★☆,☆,☆
600976.SH,600976,3.5,3.5,3,1.5,3.5,4,0.5,★★★☆,★★★☆,★★★,★☆,★★★☆,★★★★,☆
600993.SH,600993,3,1,4,0.5,4,3.5,1.5,★★★,★,★★★★,☆,★★★★,★★★☆,★☆
600998.SH,600998,4,4.5,1.5,3.5,4,4.5,3.5,★★★★,★★★★☆,★☆,★★★☆,★★★★,★★★★☆,★★★☆
601607.SH,601607,5,5,3,2,4,5,3,★★★★★,★★★★★,★★★,★★,★★★★,★★★★★,★★★
603108.SH,603108,2.5,4,1.5,3.5,3,2.5,3,★★☆,★★★★,★☆,★★★☆,★★★,★★☆,★★★
